request_rate,time_gap_ms,failed_logins,packet_size_kb,payload_entropy,label
15.13,70.09,11,0.96,7.94,Attack
16.06,131.16,10,0.8,8.52,Attack
10.6,125.38,15,0.4,6.69,Attack
2.31,739.82,1,5.84,2.78,Normal
19.88,97.15,8,0.59,7.46,Attack
4.74,413.36,2,1.53,3.27,Normal
21.59,127.81,7,0.35,7.37,Attack
2.15,627.19,1,7.78,3.11,Normal
17.61,99.03,5,0.67,6.74,Attack
14.1,63.02,15,0.31,8.88,Attack
12.8,107.5,6,1.12,8.61,Attack
4.52,1105.86,1,4.02,3.38,Normal
0.67,756.12,2,5.27,2.57,Normal
2.4,411.35,1,2.74,4.1,Normal
2.51,782.27,1,6.04,3.99,Normal
0.9,839.8,1,1.68,2.32,Normal
19.0,24.6,15,0.46,6.14,Attack
16.69,119.61,14,1.43,8.28,Attack
11.73,60.86,6,0.23,7.02,Attack
2.82,944.48,1,5.35,3.09,Normal
19.34,52.84,13,0.85,7.15,Attack
11.24,67.52,8,1.43,6.37,Attack
3.18,990.71,1,2.95,2.88,Normal
9.36,78.68,12,1.15,7.91,Attack
8.7,47.72,13,0.86,7.19,Attack
12.41,143.57,15,1.19,6.09,Attack
12.98,30.0,6,0.77,7.98,Attack
0.91,410.62,1,1.62,2.73,Normal
16.8,142.0,7,0.37,7.01,Attack
1.5,928.99,2,4.9,4.32,Normal
1.59,475.19,1,1.61,4.84,Normal
15.18,80.85,12,0.16,6.16,Attack
19.6,112.64,10,0.43,6.59,Attack
2.68,879.23,2,3.44,2.54,Normal
19.32,126.26,15,0.69,8.93,Attack
14.82,28.36,4,0.86,6.27,Attack
13.22,78.24,11,0.44,7.7,Attack
10.8,97.54,7,0.68,7.51,Attack
2.27,825.65,2,1.36,2.22,Normal
1.22,832.81,0,8.87,4.25,Normal
24.03,112.49,9,0.77,7.78,Attack
3.64,298.19,0,7.47,4.19,Normal
20.14,101.23,8,0.52,6.68,Attack
3.16,439.48,2,8.69,2.89,Normal
23.01,138.48,15,1.29,8.68,Attack
23.68,52.79,12,1.37,8.44,Attack
0.97,690.81,1,2.56,2.67,Normal
1.72,821.3,0,6.1,2.3,Normal
1.49,730.92,2,6.45,3.08,Normal
22.56,131.73,9,0.86,6.33,Attack
1.12,1063.25,2,5.48,2.34,Normal
0.55,1189.29,1,5.37,2.72,Normal
1.42,1074.74,1,8.4,2.75,Normal
2.64,772.23,2,2.26,4.01,Normal
14.94,63.94,11,0.3,6.69,Attack
3.65,506.65,0,2.28,3.34,Normal
16.46,36.09,5,0.68,7.04,Attack
11.2,90.99,10,0.6,7.98,Attack
4.89,322.59,2,7.05,4.63,Normal
1.94,964.66,1,3.0,4.1,Normal
22.89,88.57,5,0.55,7.87,Attack
4.63,467.43,1,1.51,3.99,Normal
16.67,20.18,8,0.52,8.84,Attack
0.61,242.82,2,8.77,3.27,Normal
3.86,939.85,1,6.4,2.73,Normal
3.67,778.59,2,2.05,4.67,Normal
13.39,76.84,7,1.22,6.74,Attack
4.08,202.36,2,9.59,4.23,Normal
1.93,241.43,0,1.5,4.17,Normal
18.51,21.38,9,0.63,8.52,Attack
0.73,743.28,1,2.37,3.62,Normal
1.46,489.62,2,3.6,2.02,Normal
4.4,1093.84,2,1.04,2.19,Normal
14.54,23.28,11,0.86,7.45,Attack
10.62,64.85,13,1.24,8.46,Attack
14.13,33.55,8,1.34,7.26,Attack
3.83,482.46,2,7.3,3.12,Normal
2.08,962.06,2,3.11,3.73,Normal
1.88,985.31,0,2.52,2.33,Normal
2.61,778.74,1,8.14,2.48,Normal
4.33,211.43,1,8.8,3.36,Normal
1.81,558.58,1,3.99,3.46,Normal
1.42,659.17,2,7.46,3.27,Normal
1.95,451.68,2,3.2,4.11,Normal
22.63,137.26,12,1.27,8.38,Attack
8.02,75.01,8,1.2,7.87,Attack
20.84,41.29,13,1.44,7.67,Attack
22.14,82.17,9,1.35,7.06,Attack
22.97,22.34,14,0.76,6.68,Attack
0.7,943.4,0,6.63,2.15,Normal
2.59,591.68,0,1.8,4.97,Normal
4.21,208.36,0,6.0,4.3,Normal
10.56,105.06,12,1.18,7.12,Attack
20.56,136.21,10,1.28,8.16,Attack
9.19,74.86,12,1.14,8.67,Attack
3.1,844.19,1,3.7,4.63,Normal
18.75,54.94,13,1.36,8.35,Attack
9.75,75.81,6,1.46,8.07,Attack
19.11,119.96,9,0.68,7.58,Attack
1.72,985.92,0,6.63,2.14,Normal
14.08,40.0,13,0.88,7.43,Attack
22.09,130.58,15,0.6,7.04,Attack
2.53,503.77,1,6.51,3.9,Normal
14.83,131.59,13,0.97,6.72,Attack
1.57,464.56,0,7.72,4.14,Normal
15.76,41.15,7,0.83,7.47,Attack
14.8,66.23,11,0.1,8.69,Attack
20.02,83.67,9,0.4,8.04,Attack
4.44,926.3,1,8.98,2.66,Normal
22.9,29.29,15,1.46,6.1,Attack
3.46,509.46,1,3.1,4.16,Normal
4.27,666.63,1,9.03,3.87,Normal
14.12,55.42,12,0.77,7.22,Attack
4.04,774.61,1,9.92,4.38,Normal
13.91,62.86,6,1.24,7.21,Attack
4.31,911.89,2,4.92,2.63,Normal
9.91,136.19,15,0.53,8.83,Attack
3.9,862.11,2,5.02,2.41,Normal
16.3,133.16,9,1.33,8.12,Attack
24.51,120.71,15,0.83,7.53,Attack
11.34,102.77,11,1.19,7.49,Attack
0.96,567.86,0,8.68,3.23,Normal
23.16,120.49,10,0.45,8.11,Attack
17.14,102.83,5,0.41,7.25,Attack
2.09,511.11,0,2.58,4.32,Normal
16.07,71.36,9,0.5,8.84,Attack
13.3,137.41,12,1.16,8.55,Attack
4.19,659.05,2,2.98,4.8,Normal
4.85,290.58,2,8.55,3.84,Normal
12.48,105.67,11,1.46,7.16,Attack
15.6,65.48,10,0.26,8.8,Attack
20.89,54.94,15,0.67,7.31,Attack
4.36,1074.73,2,6.56,3.72,Normal
13.94,124.02,4,1.46,8.02,Attack
3.21,1174.44,2,8.58,4.16,Normal
0.94,576.25,1,5.41,3.92,Normal
3.89,922.68,2,7.74,4.91,Normal
3.51,205.56,1,5.16,4.72,Normal
1.95,1193.5,1,4.94,4.48,Normal
4.9,263.44,0,5.66,4.91,Normal
18.32,30.46,12,0.97,8.03,Attack
17.7,73.06,4,1.37,7.87,Attack
2.6,612.09,2,7.48,4.19,Normal
4.53,508.67,0,4.17,4.41,Normal
1.93,1094.86,1,8.32,4.89,Normal
2.99,844.99,0,5.21,4.82,Normal
1.12,433.37,2,1.88,3.76,Normal
19.04,125.32,15,0.71,7.53,Attack
21.16,33.93,9,0.52,7.49,Attack
13.44,120.7,8,0.14,7.4,Attack
11.79,58.49,10,0.31,7.65,Attack
3.57,1114.53,1,1.0,4.46,Normal
16.55,57.95,14,0.15,7.98,Attack
16.07,27.28,10,1.34,8.85,Attack
23.75,65.09,10,0.58,7.66,Attack
12.58,128.5,8,0.58,7.92,Attack
12.59,57.01,8,0.65,8.51,Attack
1.26,460.28,1,4.88,3.72,Normal
22.41,131.48,6,0.88,7.06,Attack
23.54,29.97,15,1.33,6.89,Attack
4.63,754.64,0,9.92,2.93,Normal
3.47,477.13,0,1.66,3.31,Normal
2.93,632.57,1,1.42,4.69,Normal
1.49,959.41,1,1.54,3.04,Normal
15.5,48.87,11,0.53,6.55,Attack
9.47,131.34,14,0.6,6.17,Attack
9.56,104.52,4,0.49,7.6,Attack
20.83,67.18,13,1.33,7.53,Attack
4.03,841.52,1,8.51,4.6,Normal
20.66,93.64,12,1.42,7.77,Attack
2.08,954.71,1,9.04,4.67,Normal
4.0,872.57,1,1.64,3.34,Normal
15.62,118.7,5,0.37,6.23,Attack
1.44,457.3,2,1.18,2.45,Normal
2.31,890.36,2,3.99,2.52,Normal
1.67,981.88,2,1.71,4.64,Normal
0.89,851.77,2,3.73,3.85,Normal
9.33,137.43,11,0.76,8.92,Attack
20.21,41.48,11,0.27,8.61,Attack
3.03,887.56,1,9.39,3.0,Normal
3.68,718.9,0,2.91,4.86,Normal
22.08,138.3,15,1.2,8.97,Attack
3.85,1095.14,1,9.49,2.11,Normal
8.2,38.05,11,1.49,8.0,Attack
17.16,127.01,6,0.2,6.62,Attack
13.47,121.54,8,1.14,6.75,Attack
14.83,125.45,4,0.76,6.01,Attack
2.5,1117.82,2,4.96,3.34,Normal
2.93,785.33,1,2.21,4.59,Normal
3.77,788.25,2,1.72,4.42,Normal
2.65,413.6,1,2.73,2.98,Normal
12.86,59.84,12,1.36,7.14,Attack
16.87,120.86,6,1.21,7.23,Attack
9.54,29.91,7,0.37,7.31,Attack
2.3,377.81,1,2.67,3.37,Normal
16.64,108.94,13,0.39,7.1,Attack
18.92,30.18,9,1.41,8.92,Attack
16.19,141.32,15,0.87,6.9,Attack
22.98,114.02,4,0.81,7.19,Attack
14.83,97.68,11,1.19,7.19,Attack
2.12,1149.06,0,5.26,4.9,Normal
19.29,100.72,15,0.1,8.07,Attack
15.46,84.19,4,0.43,8.54,Attack
4.46,688.07,2,8.05,3.12,Normal
3.38,218.46,0,6.23,3.64,Normal
1.33,479.65,0,5.84,3.8,Normal
23.25,123.75,5,0.84,8.89,Attack
0.88,320.92,0,2.55,3.88,Normal
1.91,442.65,2,4.63,4.26,Normal
11.02,110.85,7,1.07,8.28,Attack
22.56,39.85,14,0.26,6.42,Attack
14.59,120.8,13,0.91,7.21,Attack
21.39,85.74,8,1.29,6.75,Attack
11.95,40.89,8,0.64,7.8,Attack
3.94,1108.36,2,5.56,4.91,Normal
22.63,59.77,8,0.91,8.44,Attack
3.71,564.14,0,2.69,2.9,Normal
14.01,127.86,5,1.39,7.51,Attack
3.72,684.31,1,1.59,3.55,Normal
15.8,76.67,14,0.45,7.03,Attack
16.89,109.51,8,0.22,8.58,Attack
1.92,962.67,0,9.42,2.13,Normal
17.62,23.26,14,0.48,8.58,Attack
18.17,37.53,15,0.71,6.33,Attack
3.85,971.23,2,2.81,2.03,Normal
2.08,297.42,0,7.47,3.22,Normal
4.4,634.95,0,7.36,3.2,Normal
23.04,75.82,6,1.14,6.08,Attack
0.69,873.32,2,7.34,2.76,Normal
1.05,797.39,0,2.04,2.37,Normal
3.66,1092.06,2,5.97,4.76,Normal
1.41,358.86,1,7.5,3.42,Normal
2.8,866.82,0,1.11,2.06,Normal
9.54,48.63,9,0.69,8.9,Attack
3.41,1165.48,2,2.88,2.81,Normal
23.41,146.66,9,1.17,6.43,Attack
4.42,1152.24,1,1.47,4.35,Normal
3.95,728.3,1,8.35,4.49,Normal
2.4,513.07,1,2.0,3.7,Normal
20.91,66.68,14,1.49,6.45,Attack
1.48,967.65,0,8.36,3.49,Normal
11.06,135.18,14,1.08,6.85,Attack
1.23,901.92,2,9.25,4.89,Normal
4.05,502.6,0,5.34,2.15,Normal
2.62,924.48,2,1.56,3.75,Normal
11.97,89.42,8,0.44,6.68,Attack
2.23,277.22,0,3.15,4.52,Normal
0.53,1037.78,2,5.06,4.08,Normal
2.43,1180.34,2,8.9,3.94,Normal
16.95,87.04,11,0.5,6.48,Attack
22.05,27.55,4,1.16,8.36,Attack
18.37,114.59,6,0.4,8.34,Attack
13.55,38.13,9,1.39,8.42,Attack
24.28,89.86,10,0.35,6.88,Attack
2.74,433.03,1,2.87,3.24,Normal
9.64,65.91,5,0.56,6.89,Attack
23.64,138.14,12,0.16,8.72,Attack
2.48,1117.23,1,1.07,3.8,Normal
9.87,134.13,13,1.0,6.17,Attack
23.82,65.64,12,0.96,8.04,Attack
13.24,40.7,11,1.35,7.01,Attack
15.58,44.65,7,0.15,6.8,Attack
19.89,98.14,5,0.24,6.51,Attack
3.85,622.62,0,2.41,4.57,Normal
3.52,1059.81,1,2.41,2.28,Normal
16.94,107.75,6,0.99,7.42,Attack
4.66,833.54,1,1.95,3.43,Normal
3.47,745.42,1,1.86,2.53,Normal
13.52,127.72,11,0.91,8.18,Attack
4.21,322.33,2,2.88,4.98,Normal
2.69,717.61,2,4.96,4.79,Normal
2.07,767.12,2,7.02,2.62,Normal
9.56,26.85,5,1.45,9.0,Attack
2.6,401.59,2,5.47,3.79,Normal
1.82,737.53,2,3.23,3.3,Normal
12.37,126.97,4,0.14,8.09,Attack
20.76,143.71,10,1.42,7.68,Attack
11.52,24.4,8,1.26,8.08,Attack
3.23,719.23,1,3.13,3.78,Normal
2.51,211.92,1,9.21,2.73,Normal
2.91,437.29,1,6.41,3.21,Normal
1.6,913.58,1,6.19,4.6,Normal
1.96,765.6,1,3.75,3.88,Normal
4.98,1145.19,0,3.22,4.38,Normal
12.59,91.52,11,0.56,7.77,Attack
2.52,272.47,0,3.82,3.42,Normal
3.93,1157.78,0,5.57,2.04,Normal
14.25,67.72,9,0.26,8.99,Attack
14.87,35.93,4,0.12,6.82,Attack
9.31,53.88,9,0.32,6.0,Attack
2.09,828.42,2,1.34,3.47,Normal
11.24,44.84,9,0.78,7.9,Attack
11.73,62.8,14,0.21,6.18,Attack
3.08,672.09,2,6.45,2.18,Normal
9.74,129.22,7,0.96,8.27,Attack
18.09,41.3,5,0.12,8.13,Attack
24.08,107.8,6,0.3,8.68,Attack
9.62,39.49,13,1.36,8.88,Attack
4.15,866.36,1,5.94,3.03,Normal
8.73,61.54,11,1.06,8.79,Attack
2.59,266.84,0,8.17,2.1,Normal
21.01,84.34,13,0.11,6.74,Attack
19.12,27.16,10,1.14,7.72,Attack
1.36,958.71,2,9.58,2.05,Normal
14.91,123.45,13,0.77,7.85,Attack
11.88,80.47,15,1.0,7.26,Attack
3.72,805.27,1,1.82,4.3,Normal
15.06,39.0,10,0.42,8.84,Attack
18.05,61.21,8,0.27,7.31,Attack
1.24,707.12,1,7.87,3.33,Normal
18.25,98.34,11,0.75,6.21,Attack
2.29,548.64,2,3.73,2.27,Normal
3.82,900.89,0,6.56,3.07,Normal
1.16,915.05,1,3.01,2.62,Normal
17.48,131.77,12,0.98,7.52,Attack
2.41,276.7,1,8.71,2.18,Normal
13.31,66.84,10,1.18,8.97,Attack
4.52,986.84,0,8.87,2.78,Normal
3.9,890.54,1,8.91,3.88,Normal
18.7,115.09,12,1.32,7.17,Attack
12.04,33.07,8,0.48,7.17,Attack
2.32,988.71,2,1.14,2.73,Normal
17.31,81.02,10,0.41,8.39,Attack
2.07,420.96,0,9.48,4.33,Normal
12.57,37.15,6,0.38,6.62,Attack
0.82,381.55,2,5.96,4.99,Normal
14.49,88.35,13,0.45,6.27,Attack
16.26,120.14,14,0.14,7.41,Attack
19.06,115.83,10,0.56,7.55,Attack
13.93,45.22,9,1.15,6.86,Attack
4.36,795.66,1,2.35,3.42,Normal
23.85,44.89,10,1.2,7.85,Attack
2.16,453.69,2,4.07,3.21,Normal
10.71,70.92,4,0.99,6.64,Attack
3.72,649.79,1,8.7,3.01,Normal
13.98,137.8,13,1.16,8.21,Attack
3.5,1140.26,0,5.73,4.62,Normal
1.42,796.42,0,7.91,3.53,Normal
4.13,304.28,0,2.15,3.31,Normal
11.79,95.67,9,0.18,6.28,Attack
4.04,1137.56,0,9.64,4.02,Normal
13.23,147.36,12,1.19,7.67,Attack
16.79,113.65,7,0.25,7.81,Attack
10.11,62.68,7,0.32,8.95,Attack
3.2,979.71,2,8.9,4.34,Normal
2.2,856.74,2,6.97,4.81,Normal
0.91,505.58,0,6.0,2.85,Normal
10.38,86.74,14,0.73,6.8,Attack
1.9,359.46,1,6.23,2.38,Normal
2.32,774.01,2,1.43,2.73,Normal
10.46,113.52,13,0.21,8.7,Attack
2.8,695.38,1,6.43,3.47,Normal
0.98,433.84,0,4.27,3.4,Normal
4.41,1108.77,0,4.7,2.38,Normal
2.77,925.18,2,2.41,4.38,Normal
10.62,79.56,12,0.53,8.83,Attack
22.13,92.26,9,1.1,7.14,Attack
19.14,126.56,9,0.44,8.88,Attack
3.78,473.52,0,4.54,2.49,Normal
14.42,73.34,13,1.05,8.87,Attack
2.88,1035.42,2,4.94,3.56,Normal
9.2,31.47,8,0.85,7.24,Attack
3.74,813.82,0,6.79,4.03,Normal
16.37,38.53,7,1.31,8.9,Attack
0.58,422.96,1,9.68,4.89,Normal
15.6,58.28,9,0.64,8.2,Attack
18.0,25.31,12,0.17,8.37,Attack
4.8,758.58,2,3.9,2.85,Normal
17.97,137.13,8,0.67,7.58,Attack
8.86,135.93,4,1.27,6.37,Attack
11.51,70.06,9,0.65,6.14,Attack
1.73,1152.74,1,3.6,4.52,Normal
17.7,144.49,9,0.3,8.79,Attack
9.96,32.65,10,0.89,7.24,Attack
9.82,92.17,7,0.41,6.81,Attack
12.71,45.09,12,0.64,7.19,Attack
1.4,791.08,0,8.17,4.27,Normal
0.75,862.54,2,1.8,2.52,Normal
16.27,120.55,8,0.39,8.39,Attack
18.3,73.25,6,0.57,8.38,Attack
13.5,115.74,14,1.46,6.72,Attack
3.35,560.35,2,3.77,4.72,Normal
18.51,100.7,11,0.29,8.23,Attack
3.35,540.72,1,1.09,4.47,Normal
15.29,66.68,4,0.21,8.24,Attack
1.09,742.59,2,1.84,3.37,Normal
11.22,122.48,4,0.54,8.75,Attack
2.46,640.01,0,4.46,3.59,Normal
14.32,140.1,15,0.84,8.16,Attack
1.94,482.73,2,7.25,3.8,Normal
9.13,65.61,14,0.8,6.72,Attack
15.93,93.16,14,0.92,7.77,Attack
4.72,704.97,0,8.79,3.91,Normal
1.63,1043.33,2,6.22,2.4,Normal
12.98,74.92,7,1.48,8.5,Attack
10.99,51.68,14,0.23,6.95,Attack
11.46,47.69,9,0.74,7.87,Attack
3.51,724.03,2,9.88,4.77,Normal
18.6,83.59,11,0.62,8.58,Attack
3.28,478.61,0,4.81,4.08,Normal
23.97,114.12,11,0.39,8.49,Attack
3.3,643.82,0,4.26,3.79,Normal
4.05,440.71,1,6.9,4.56,Normal
4.86,989.57,0,3.13,2.71,Normal
23.17,115.34,8,1.49,6.78,Attack
4.84,835.98,2,3.53,2.55,Normal
4.86,686.13,2,8.18,4.19,Normal
17.39,138.22,4,1.37,8.15,Attack
4.05,1130.57,2,3.07,4.43,Normal
17.74,132.73,14,0.27,8.02,Attack
4.5,1107.61,0,7.86,3.34,Normal
10.39,149.88,14,1.02,6.84,Attack
24.11,87.49,11,0.22,7.11,Attack
20.62,52.7,5,1.28,6.61,Attack
13.93,146.16,5,0.94,7.23,Attack
17.88,34.12,13,1.02,8.95,Attack
3.53,752.35,0,4.28,3.14,Normal
8.85,121.94,5,1.22,7.33,Attack
21.22,108.18,11,1.07,6.68,Attack
13.14,25.93,4,0.65,7.48,Attack
12.03,106.32,11,0.75,8.82,Attack
1.18,807.21,1,5.34,3.1,Normal
8.81,143.86,8,1.03,7.96,Attack
1.15,849.29,0,7.5,4.82,Normal
4.48,660.52,1,8.79,3.53,Normal
17.34,148.11,8,0.74,8.01,Attack
21.01,81.76,8,0.91,6.79,Attack
13.39,28.97,5,0.11,7.68,Attack
21.76,44.4,10,1.18,6.51,Attack
13.05,35.64,8,0.8,7.12,Attack
16.47,68.64,10,0.53,6.49,Attack
8.06,140.9,15,0.48,6.99,Attack
2.4,746.11,2,5.62,4.82,Normal
4.32,819.14,1,3.21,4.83,Normal
2.25,570.56,0,6.61,4.52,Normal
2.46,671.43,2,6.08,3.33,Normal
10.99,86.51,5,0.84,6.4,Attack
2.45,441.39,1,4.53,4.55,Normal
3.6,551.42,0,2.29,4.18,Normal
2.55,408.5,0,8.09,3.07,Normal
21.17,123.71,4,0.79,6.84,Attack
10.21,106.86,14,1.09,8.22,Attack
15.97,104.72,13,0.23,8.69,Attack
2.26,573.38,1,4.05,4.2,Normal
1.87,777.75,2,8.47,3.11,Normal
4.76,478.87,1,3.02,4.75,Normal
24.43,128.38,5,1.15,6.74,Attack
17.98,95.63,15,0.75,6.51,Attack
1.1,230.94,1,6.19,3.48,Normal
2.91,324.35,1,5.49,2.13,Normal
16.14,113.15,12,0.2,7.16,Attack
2.26,506.66,0,2.83,2.39,Normal
13.07,108.65,7,0.92,8.04,Attack
10.54,57.64,8,0.67,8.73,Attack
24.43,106.21,11,0.72,7.54,Attack
1.63,687.81,2,7.13,2.4,Normal
0.86,1153.6,2,5.81,4.18,Normal
1.05,450.78,1,6.8,3.6,Normal
15.78,28.58,7,1.05,7.35,Attack
2.31,845.27,2,8.08,3.46,Normal
14.07,141.56,4,0.5,6.96,Attack
4.38,285.72,0,7.05,3.33,Normal
1.05,581.72,0,1.66,2.34,Normal
1.63,749.58,0,2.25,3.54,Normal
3.53,1187.82,0,4.1,4.16,Normal
20.67,83.55,15,0.97,7.35,Attack
3.97,819.94,0,4.51,4.69,Normal
2.73,750.91,0,3.1,2.3,Normal
2.11,588.72,2,2.56,3.85,Normal
2.29,668.73,0,2.55,2.2,Normal
13.92,22.61,11,0.4,7.86,Attack
17.24,65.47,9,0.41,8.16,Attack
4.37,1064.86,0,3.38,2.24,Normal
10.69,128.4,15,0.32,7.32,Attack
17.3,124.36,10,0.91,8.62,Attack
20.73,30.58,5,0.77,7.62,Attack
13.33,24.88,11,0.2,6.43,Attack
9.16,110.17,9,0.5,7.16,Attack
1.72,1156.53,1,6.97,3.66,Normal
3.14,748.17,1,4.82,2.63,Normal
9.93,105.38,5,0.6,7.08,Attack
1.46,454.28,2,1.34,4.52,Normal
1.52,669.54,2,9.5,3.96,Normal
22.68,130.03,8,1.34,7.75,Attack
19.4,61.25,4,0.96,6.84,Attack
2.18,770.49,2,7.85,4.0,Normal
3.23,589.31,0,1.22,4.6,Normal
18.51,21.21,4,1.34,7.81,Attack
21.93,89.56,13,1.45,6.1,Attack
15.37,133.82,14,0.61,7.38,Attack
21.55,118.14,4,0.59,7.33,Attack
9.41,79.33,12,1.43,8.23,Attack
14.85,107.62,5,1.44,8.31,Attack
3.11,620.73,1,9.3,3.92,Normal
4.31,1095.53,0,8.72,3.02,Normal
1.44,978.07,2,4.8,3.86,Normal
3.87,859.18,0,9.49,4.52,Normal
11.39,61.62,7,0.18,6.05,Attack
21.76,55.68,12,0.61,8.55,Attack
0.95,448.83,2,4.87,2.91,Normal
8.31,50.17,15,0.39,7.29,Attack
14.55,20.23,4,0.32,7.59,Attack
0.89,869.77,2,3.39,2.55,Normal
13.36,96.41,4,1.46,6.09,Attack
10.68,44.19,9,0.49,7.19,Attack
1.38,271.82,1,3.52,4.29,Normal
4.68,677.11,2,5.75,4.63,Normal
9.39,32.66,12,0.46,7.92,Attack
8.94,94.48,7,1.32,6.08,Attack
4.78,1034.25,0,5.15,2.04,Normal
0.81,830.44,0,8.88,4.46,Normal
1.96,757.68,1,5.18,2.79,Normal
3.68,1071.95,1,4.13,3.67,Normal
2.09,878.63,1,1.68,4.46,Normal
23.9,142.87,8,0.14,6.66,Attack
13.95,120.19,7,0.81,6.94,Attack
4.24,293.51,0,5.7,3.08,Normal
12.11,78.58,12,0.45,8.9,Attack
11.8,108.21,12,0.48,8.35,Attack
12.44,137.47,5,0.73,7.75,Attack
18.4,41.01,9,0.94,6.9,Attack
24.66,91.99,13,1.28,6.11,Attack
4.26,550.99,2,3.64,2.12,Normal
10.13,141.9,11,0.68,8.2,Attack
9.68,115.67,11,0.24,8.02,Attack
22.62,135.97,15,0.6,7.21,Attack
20.0,28.71,10,0.61,8.32,Attack
9.86,26.29,13,1.35,8.15,Attack
2.66,362.78,1,5.63,3.76,Normal
19.96,94.9,15,1.0,7.01,Attack
3.47,1144.79,1,9.03,3.1,Normal
3.98,774.98,2,9.06,2.48,Normal
24.54,136.21,11,1.07,6.06,Attack
13.75,60.55,9,0.17,7.3,Attack
4.04,333.83,1,1.92,2.04,Normal
10.8,67.2,14,1.3,7.84,Attack
16.46,79.16,13,1.2,6.95,Attack
4.69,591.71,0,1.82,2.77,Normal
4.21,984.3,1,9.39,2.45,Normal
3.11,940.26,2,2.93,3.01,Normal
1.16,472.02,0,9.92,3.31,Normal
3.85,853.69,2,8.83,3.55,Normal
1.56,374.18,0,4.13,3.91,Normal
16.01,88.81,9,0.37,7.43,Attack
21.54,24.59,5,0.11,8.11,Attack
1.31,449.98,1,6.56,4.74,Normal
1.8,858.86,1,7.68,2.59,Normal
4.12,1020.09,0,8.57,3.39,Normal
0.67,884.47,2,7.61,2.61,Normal
2.74,464.85,1,1.34,4.83,Normal
3.21,1031.88,2,2.66,3.46,Normal
22.9,134.76,14,0.79,6.59,Attack
13.08,148.87,10,1.01,8.92,Attack
10.88,44.17,12,0.21,8.37,Attack
1.61,1094.07,0,7.73,3.56,Normal
2.7,598.81,2,3.98,3.3,Normal
1.68,856.74,0,8.89,3.03,Normal
1.43,419.57,1,3.77,3.44,Normal
14.42,131.06,4,0.48,7.96,Attack
2.0,928.71,0,5.1,4.54,Normal
4.52,604.77,0,2.66,4.35,Normal
19.16,50.8,7,1.19,8.91,Attack
4.9,477.33,0,9.86,2.4,Normal
17.69,108.88,10,1.2,6.41,Attack
21.77,43.47,15,1.0,8.35,Attack
4.62,754.04,2,8.84,2.01,Normal
4.8,670.16,0,4.93,2.3,Normal
4.85,814.7,1,5.5,2.05,Normal
3.56,514.72,0,8.32,3.91,Normal
22.91,77.62,14,1.17,7.61,Attack
4.11,435.65,0,4.66,2.23,Normal
3.71,1193.68,1,7.84,4.35,Normal
2.64,469.56,1,6.62,3.38,Normal
1.89,938.21,1,4.44,3.05,Normal
18.91,72.05,11,0.44,8.69,Attack
15.53,106.59,11,0.34,7.82,Attack
13.02,118.43,13,1.03,6.55,Attack
4.98,345.09,2,8.16,4.58,Normal
15.94,115.61,6,1.04,6.33,Attack
19.74,120.12,7,0.55,8.31,Attack
23.62,58.97,4,0.23,8.8,Attack
24.36,43.69,15,0.26,7.68,Attack
20.38,50.43,11,0.41,7.06,Attack
3.96,557.35,1,1.54,2.65,Normal
4.96,940.29,1,3.06,4.85,Normal
22.5,123.9,8,0.44,6.42,Attack
17.21,47.95,9,1.0,6.02,Attack
3.96,977.47,0,4.6,2.89,Normal
3.35,704.65,0,7.3,3.75,Normal
8.41,66.93,14,0.59,8.19,Attack
14.78,37.35,9,0.52,7.48,Attack
24.93,36.52,9,0.21,6.41,Attack
2.1,1084.87,0,3.66,3.84,Normal
22.37,21.98,9,0.46,8.29,Attack
14.72,71.92,6,0.6,6.02,Attack
1.39,201.99,2,6.8,2.83,Normal
8.82,31.17,8,0.97,8.34,Attack
24.2,112.41,9,1.01,8.62,Attack
2.49,389.82,2,4.42,3.36,Normal
12.56,128.73,12,1.39,7.06,Attack
18.27,47.43,4,0.74,6.2,Attack
1.03,686.85,2,4.34,4.17,Normal
3.67,765.54,2,4.97,3.37,Normal
2.95,328.67,1,6.7,3.29,Normal
1.28,510.2,0,6.4,2.13,Normal
19.56,129.04,8,0.53,8.4,Attack
1.02,1091.32,2,8.77,2.69,Normal
10.95,122.05,12,0.79,7.0,Attack
13.47,65.14,10,0.68,6.92,Attack
11.03,118.52,4,0.38,6.99,Attack
2.66,470.15,1,3.65,4.05,Normal
13.38,30.4,9,0.45,7.75,Attack
3.68,461.45,0,4.99,2.35,Normal
1.02,624.36,2,4.77,2.66,Normal
1.86,383.49,0,7.49,4.5,Normal
4.09,1120.73,1,7.0,2.24,Normal
8.29,119.41,14,0.33,7.33,Attack
8.04,116.39,15,0.12,6.86,Attack
11.11,84.95,5,0.89,8.13,Attack
1.59,953.77,0,1.1,3.67,Normal
2.92,1153.65,2,3.03,2.36,Normal
11.06,143.31,8,1.26,6.82,Attack
9.07,49.12,11,0.99,8.48,Attack
0.64,793.08,0,1.2,2.2,Normal
16.12,38.21,12,0.87,8.09,Attack
4.85,714.16,1,1.51,3.52,Normal
13.78,52.24,8,0.13,7.67,Attack
17.02,47.67,10,0.77,7.83,Attack
20.06,74.73,7,0.48,6.97,Attack
0.89,518.45,1,6.98,2.47,Normal
4.56,597.93,0,7.77,3.39,Normal
20.11,52.31,9,0.17,8.35,Attack
